atomID,x,y,z
1,59.0976,19.6108422764228,16.5
2,59.0976,26.851480155642,16.6416342412451
3,59.0976,26.9125633802817,22.2056338028169
4,59.0976,28.0353300970874,24.8084142394822
5,59.0976,29.4665221526909,15.7723404255319
6,59.0976,31.0176658354115,19.514463840399
7,59.0976,33.4292072487644,54.6472817133443
8,59.0976,34.4812,18.9875
9,59.0976,34.53136,18.94
10,59.0976,44.3286888888889,57.6185185185185
11,59.0976,45.0529151515152,66.8181818181818
12,59.0976,50.954019047619,22.3742368742369
13,59.0976,51.0863286624204,31.036093418259
14,59.0976,54.7161415384615,23.7469230769231
15,59.0976,54.7330285714286,36.9714285714286
16,59.0976,54.7402666666667,36.9833333333333
17,59.0976,54.7656,36.8375
18,59.0976,54.9527614457831,61.0144578313253
19,59.0976,55.0773219251337,36.3866310160428
20,59.0976,59.0835076923077,38.9314170040486
21,59.0976,60.306176744186,69.853488372093
22,59.0976,61.6366963350785,41.8844240837696
23,59.0976,64.3027555555555,45.9888888888889
24,59.0976,64.9769125,65.275
25,59.0976,65.3632,45.3736842105263
26,59.0976,65.6088771084337,19.0746987951807
27,59.0976,65.8369,63.7875
28,59.0976,65.89105,63.7125
29,59.0976,65.914496,45.088
30,59.0976,68.2704168622338,20.2695132551065
31,59.0976,69.0951164179104,20.5865671641791
32,59.0976,70.5917106382979,19.5
33,59.0976,71.9540931506849,57.8479452054795
34,59.204,54.644,37
35,59.242,34.618,18.75
36,59.242,34.77,19.75
37,59.28,65.056,45.5
38,59.356,66.063,64
39,59.356,66.424,63.5
40,59.3777142857143,76.6731428571429,22.9285714285714
41,59.3813333333333,26.7013333333333,16.5
42,59.3813333333333,54.4666666666667,37
43,59.432,64.6,45.5
44,59.432,65.968,45
45,59.4826666666667,34.6813333333333,18.8333333333333
46,59.5164444444444,55.3617777777778,35.2777777777778
47,59.66,27.892,25
48,59.66,71.592,58
49,59.736,54.264,36.5
50,59.774,45.0426666666667,60.75
51,59.812,28.12,23
52,59.812,55.48,24
53,60.04,65.132,19
54,60.0809230769231,71.2061538461538,58.3846153846154
55,60.1413333333333,51.4013333333333,22.5
56,60.192,69.92,21.5
57,60.192,70.452,19.5
58,60.42,54.948,24.375
59,60.572,65.74,45.5
60,60.5973333333333,53.9093333333333,35
61,60.629,50.901,31.25
62,60.648,56.088,24
63,60.6986666666667,34.8586666666667,18.6666666666667
64,60.838,72.77,22.5
65,60.914,70.262,23
66,60.9266666666667,72.1746666666667,57.3333333333333
67,60.9773333333333,56.3413333333333,23.8333333333333
68,61.18,72.58,56.5
69,61.2053333333333,32.8573333333333,20.5
70,61.294,50.426,31.25
